Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
48:56.0,00:00.0,0,7,0,0,0,515714,43546,22353,51878,36704,41229,28458,5307,,
48:57.0,00:00.0,0,7,0,0,0,3856,47031,32584,12496,38597,19032,20641,7294,,
48:58.0,00:00.0,0,7,0,0,0,74675,84861,24134,12501,18976,26840,23908,8680,,
48:59.0,00:00.0,0,7,0,0,0,16902,62626,15949,29197,24442,47778,13766,2906,,
49:00.0,00:00.0,0,7,0,0,0,86521,29438,45907,62961,20904,37576,11539,8836,,
49:01.0,00:00.0,0,7,0,0,0,4377,21018,31706,6574,22720,54688,15065,5278,,
49:02.0,00:00.0,0,7,0,0,0,926416,258094,5117,14473,53477,19959,36543,3185,,
49:03.0,00:00.0,0,7,0,0,0,165662,106482,24402,16055,50794,13683,19335,3413,,
49:04.0,00:00.0,0,7,0,0,0,263412,48089,4998,18239,19016,28413,26427,10901,,
49:05.0,00:00.0,0,7,0,0,0,133115,9007,6513,5028,6439,5052,3927,2039,,
49:06.0,00:00.0,0,7,0,0,0,91314,21832,8962,4808,42909,19190,16995,5699,,
49:07.0,00:00.0,0,7,0,0,0,1216055,46899,48445,23469,28948,19140,15404,6850,,
49:08.0,00:00.0,0,7,0,0,0,319122,59832,5383,34226,31786,31508,13633,2267,,
49:09.0,00:00.0,0,7,0,0,0,580159,90021,46015,17566,31082,27668,25929,5054,,
49:10.0,00:00.0,0,7,0,0,0,1570949,115765,64709,71445,37241,18574,22760,3976,,
49:11.0,00:00.0,0,7,0,0,0,80435,46727,15312,17506,37172,20786,10786,7325,,
49:12.0,00:00.0,0,7,0,0,0,176950,59668,20643,18882,46182,14862,9293,12042,,
49:13.0,00:00.0,0,7,0,0,0,52830,16564,23839,16253,12331,24697,13486,2775,,
49:14.0,00:00.0,0,7,0,0,0,1740428,96720,23551,33444,24723,24645,18090,7167,,
49:15.0,00:00.0,0,7,0,0,0,277893,55495,22746,10074,22332,14019,16816,2914,,
49:16.0,00:00.0,0,7,0,0,0,709424,58767,30484,21495,31533,54584,11852,2742,,
49:17.0,00:00.0,0,7,0,0,0,28698,36213,14482,23812,37009,23453,19886,6008,,
49:18.0,00:00.0,0,7,0,0,0,24012,53457,28677,29640,23362,13798,15624,5213,,
49:19.0,00:00.0,0,7,0,0,0,59136,77730,19660,4163,18417,29645,12217,4851,,
49:20.0,00:00.0,0,7,0,0,0,375015,251668,14771,6115,10580,43014,30740,7786,,
49:21.0,00:00.0,0,7,0,0,0,401262,118720,19899,27880,61104,28312,22188,12297,,
49:22.0,00:00.0,0,7,0,0,0,679417,114110,13530,33671,6943,9414,17735,3400,,
49:23.0,00:00.0,0,7,0,0,0,150891,46072,3147,20178,30337,20856,18704,3769,,
49:24.0,00:00.0,100,7,0,0,0,478083,419687,205222,152788,144594,68767,12169,10116,,
49:25.0,00:00.0,74,6,0,0,0,985981,302998,29381,151811,66498,58375,6223,1604,,
49:26.0,00:00.0,74,6,0,0,0,1195846,176400,81142,60283,57887,46030,33471,58156,,
49:27.0,00:00.0,74,6,0,0,0,1113231,288259,17374,68531,128371,107058,24657,11054,,
49:28.0,00:00.0,74,6,0,0,0,334165,107685,91547,59444,162982,106897,49152,10166,,
49:29.0,00:00.0,87,6,0,0,0,486749,6182,7701,6765,4652,1043,404,126,,
49:30.0,00:00.0,100,6,0,0,0,138621,31577,3053,16322,7163,4061,1435,2297,,
